,seed,gamma,width,height,lag_p,pi_rand_perf,pi_star_perf,iteration,epsilon_baseline,pi_b_perf,nb_trajectories,method,hyperparam,method_perf,run_time
0,37,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,500,SPIBB,3,-1.3635101323316956,4.32255482673645
1,37,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,500,shield-SPIBB,3,-1.3239725116281438,4.3004090785980225
2,37,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,500,DUIPI_bayesian,1,-1.1466554295281,24.786979913711548
3,37,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,500,shield-DUIPI_bayesian,1,-0.77231223242306,24.77033519744873
4,37,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,1000,SPIBB,3,-1.1306038189245187,6.314454793930054
5,37,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,1000,shield-SPIBB,3,-1.079494384281754,6.204980134963989
6,37,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,1000,DUIPI_bayesian,1,-0.7701930660279276,38.80717492103577
7,37,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,1000,shield-DUIPI_bayesian,1,-0.41509348460946616,39.45837092399597
8,37,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,2500,SPIBB,3,-0.5633384338527913,14.128215074539185
9,37,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,2500,shield-SPIBB,3,-0.3866314276765078,13.704720735549927
10,37,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,2500,DUIPI_bayesian,1,0.5624587349370025,68.300626039505
11,37,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,2500,shield-DUIPI_bayesian,1,0.6319194729995374,68.1786060333252
12,37,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,5000,SPIBB,3,-0.10196737799950721,31.496686935424805
13,37,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,5000,shield-SPIBB,3,0.1275128950100104,27.08559513092041
